ID	Result	NatureCode
2017-001163	1	251
2017-001164	1	611
2017-001165	11	321
2017-001166	1	622
2017-001167	11	321
2017-001168	11	321
2017-001169	1	611
2017-001170	11	321
2017-001171	11	321
2017-001172	10	311
2017-001173	11	321
2017-001174	1	714
2017-001175	1	743
2017-001176	1	600
2017-001177	11	321
2017-001178	1	611
2017-001179	1	324
2017-001180	10	300
2017-001181	1	324
2017-001182	1	732
2017-001183	1	353
2017-001184	1	522
2017-001185	11	321
2017-001186	11	321
2017-001187	1	324
2017-001188	1	600
2017-001189	1	324
2017-001190	1	324
2017-001191	1	322
2017-001192	1	500
2017-001193	11	321
2017-001194	11	321
2017-001195	11	321
2017-001196	1	622
2017-001197	1	700
2017-001198	1	412
2017-001199	1	500
2017-001200	1	324
2017-001201	11	321
2017-001202	1	500
2017-001203	10	311
2017-001204	1	324
2017-001205	1	611
2017-001206	10	311
2017-001207	1	324
2017-001208	11	321
2017-001209	10	311
2017-001210	11	321
2017-001211	1	600
2017-001212	1	324
2017-001213	10	311
2017-001214	11	321
2017-001215	11	321
2017-001216	11	321
2017-001217	1	600
2017-001218	1	324
2017-001219	11	321
2017-001220	11	321
2017-001221	1	611
2017-001222	1	324
2017-001223	1	324
2017-001224	1	324
2017-001225	10	311
2017-001226	11	321
2017-001227	1	411
2017-001228	11	321
2017-001229	1	611
2017-001230	1	600
2017-001231	1	812
2017-001232	11	321
2017-001233	10	311
2017-001234	10	311
2017-001235	1	554
2017-001236	1	324
2017-001237	11	321
2017-001238	10	311
2017-001239	1	324
2017-001240	1	324
2017-001241	1	322
2017-001242	11	321
2017-001243	11	321
2017-001244	1	324
2017-001245	1	700
2017-001246	1	324
2017-001247	11	321
2017-001248	1	611
2017-001249	1	324
2017-001250	10	300
2017-001251	11	321
2017-001252	1	622
2017-001253	1	700
2017-001254	1	324
2017-001255	11	321
2017-001256	10	311
2017-001257	1	740
2017-001258	1010	321
2017-001259	1	411
2017-001260	1	554
2017-001261	1	611
2017-001262	1	611
2017-001263	11	321
2017-001264	10	311
2017-001265	1	324
2017-001266	11	321
2017-001267	1113	111
2017-001268	1	611
2017-001269	1010	321
2017-001270	1	118
2017-001271	10	300
2017-001272	1	251
2017-001273	1	324
2017-001274	10	300
2017-001275	10	311
2017-001276	10	311
2017-001277	11	321
2017-001278	1	324
2017-001279	11	321
2017-001280	1	324
2017-001281	11	321
2017-001282	11	321
2017-001283	1	150
2017-001284	1	671
2017-001285	11	321
2017-001286	1	324
2017-001287	11	321
2017-001288	1	611
2017-001289	11	321
2017-001290	1	550
2017-001291	11	321
2017-001292	10	311
2017-001293	11	321
2017-001294	1	622
2017-001295	1	621
2017-001296	1	324
2017-001297	11	321
2017-001298	11	321
2017-001299	11	321
2017-001300	11	321
2017-001301	10	311
2017-001302	1	142
2017-001303	1	700
2017-001304	1000	322
2017-001305	1	600
2017-001306	10	311
2017-001307	1000	424
2017-001308	1	611
2017-001309	11	321
2017-001310	1	600
2017-001311	1	324
2017-001312	11	321
2017-001313	1	324
2017-001314	1	324
2017-001315	11	321
2017-001316	11	321
2017-001317	10	311
2017-001318	11	321
2017-001319	10	311
2017-001320	1	511
2017-001321	1	611
2017-001322	10	311
2017-001323	11	321
2017-001324	1000	611
2017-001325	1	131
2017-001326	11	321
2017-001327	11	321
2017-001328	11	321
2017-001329	10	311
2017-001330	1	324
2017-001331	1	324
2017-001332	10	311
2017-001333	11	321
2017-001334	1	324
2017-001335	1	600
2017-001336	1	324
2017-001337	1	600
2017-001338	11	321
2017-001339	1	324
2017-001340	10	300
2017-001341	1	611
2017-001342	1	611
2017-001343	1	611
2017-001344	10	300
2017-001345	1	324
2017-001346	11	321
2017-001347	1	611
2017-001348	1	531
2017-001349	1	411
2017-001350	11	321
2017-001351	10	311
2017-001352	1	324
2017-001353	11	321
2017-001354	10	311
2017-001355	1	611
2017-001356	10	300
2017-001357	10	311
2017-001358	1	324
2017-001359	10	300
2017-001360	1	324
2017-001361	11	321
2017-001362	1	700
2017-001363	11	321
2017-001364	1	700
2017-001365	11	321
2017-001366	11	321
2017-001367	10	300
2017-001368	11	321
2017-001369	1	322
2017-001370	11	321
2017-001371	11	321
2017-001372	1113	111
2017-001373	1	622
2017-001374	11	321
2017-001375	11	321
2017-001376	1000	611
2017-001377	11	321
2017-001378	11	321
2017-001379	10	300
2017-001380	11	321
2017-001381	11	321
2017-001382	1	324
2017-001383	1	700
2017-001384	11	321
2017-001385	10	300
2017-001386	1	324
2017-001387	11	321
2017-001388	11	321
2017-001389	10	311
2017-001390	11	321
